TradeType,CountryOfDestinationName,Tariff,YearMonth,ChapterAndDescription,StatisticalQuantity,CustomsValue
Exports,Russian Federation,8061000,202301,08 - Fruit and nuts,313272.8,10237660
Exports,Russian Federation,8055010,202301,08 - Fruit and nuts,162794.5,2190438
Exports,Portugal,8093000,202301,08 - Fruit and nuts,21418.0,664973
Exports,Qatar,8094000,202301,08 - Fruit and nuts,40443.5,1008014
Exports,Russian Federation,8081000,202301,08 - Fruit and nuts,112308.0,1267725
Exports,Russian Federation,8083000,202301,08 - Fruit and nuts,2269794.59,31914581
Exports,Russian Federation,8093000,202301,08 - Fruit and nuts,97663.86,2840244
Exports,Saudi Arabia,8094000,202301,08 - Fruit and nuts,488958.0,11855069
Exports,Saudi Arabia,8134000,202301,08 - Fruit and nuts,2585.0,425652
Exports,Russian Federation,8094000,202301,08 - Fruit and nuts,692967.51,15579918
Exports,Saudi Arabia,8061000,202301,08 - Fruit and nuts,764541.8,25926920
Exports,Saudi Arabia,8045010,202301,08 - Fruit and nuts,22792.0,524823
Exports,Saudi Arabia,8055010,202301,08 - Fruit and nuts,57486.0,546204
Exports,Malawi,8011190,202301,08 - Fruit and nuts,6.0,512
Exports,Malawi,8043090,202301,08 - Fruit and nuts,30.07,413
Exports,Malawi,8043010,202301,08 - Fruit and nuts,312.79,3762
Exports,Malawi,8041090,202301,08 - Fruit and nuts,142.6,6640
Exports,Singapore,8104000,202301,08 - Fruit and nuts,10129.5,1011281
Exports,Singapore,8094000,202301,08 - Fruit and nuts,117665.0,3064819
Exports,Sweden,8061000,202301,08 - Fruit and nuts,188574.0,6628742
Exports,Sweden,8134000,202301,08 - Fruit and nuts,5251.85,563169
Exports,Malawi,8044010,202301,08 - Fruit and nuts,378.86,11882
Exports,Singapore,8061000,202301,08 - Fruit and nuts,656900.38,24249800
Exports,Malawi,8044090,202301,08 - Fruit and nuts,64.49,910
Exports,Singapore,8055010,202301,08 - Fruit and nuts,54299.0,857226
Exports,Singapore,8083000,202301,08 - Fruit and nuts,141817.0,1913368
Exports,Malawi,8055010,202301,08 - Fruit and nuts,4024.08,59769
Exports,Singapore,8081000,202301,08 - Fruit and nuts,294860.2,5044569
Exports,Malawi,8054090,202301,08 - Fruit and nuts,33.71,476
Exports,Singapore,8093000,202301,08 - Fruit and nuts,16550.0,401670
Exports,Malawi,8055090,202301,08 - Fruit and nuts,355.71,4954
Exports,Malawi,8059010,202301,08 - Fruit and nuts,2411.0,35028
Exports,Malawi,8072000,202301,08 - Fruit and nuts,318.32,4545
Exports,Malawi,8071900,202301,08 - Fruit and nuts,802.06,11270
Exports,"Saint Helena, Ascension an Tristan da Cunha",8041010,202301,08 - Fruit and nuts,96.0,5040
Exports,"Saint Helena, Ascension an Tristan da Cunha",8044010,202301,08 - Fruit and nuts,160.0,8400
Exports,"Saint Helena, Ascension an Tristan da Cunha",8045090,202301,08 - Fruit and nuts,152.0,5700
Exports,"Saint Helena, Ascension an Tristan da Cunha",8051010,202301,08 - Fruit and nuts,390.0,5200
Exports,"Saint Helena, Ascension an Tristan da Cunha",8059090,202301,08 - Fruit and nuts,990.0,16970
Exports,"Saint Helena, Ascension an Tristan da Cunha",8084000,202301,08 - Fruit and nuts,2084.0,33765
Exports,"Saint Helena, Ascension an Tristan da Cunha",8105000,202301,08 - Fruit and nuts,100.0,6800
Exports,"Saint Helena, Ascension an Tristan da Cunha",8101000,202301,08 - Fruit and nuts,75.0,10500
Exports,"Saint Helena, Ascension an Tristan da Cunha",8103000,202301,08 - Fruit and nuts,160.0,10880
Exports,"Saint Helena, Ascension an Tristan da Cunha",8083000,202301,08 - Fruit and nuts,400.0,8600
Exports,"Saint Helena, Ascension an Tristan da Cunha",8109090,202301,08 - Fruit and nuts,162.5,13750
Exports,"Saint Helena, Ascension an Tristan da Cunha",8135000,202301,08 - Fruit and nuts,60.0,2640
Exports,"Saint Helena, Ascension an Tristan da Cunha",8062000,202301,08 - Fruit and nuts,1145.0,50380
Exports,"Saint Helena, Ascension an Tristan da Cunha",8055010,202301,08 - Fruit and nuts,15.0,220
Exports,"Saint Helena, Ascension an Tristan da Cunha",8029100,202301,08 - Fruit and nuts,250.0,2250
Exports,"Saint Helena, Ascension an Tristan da Cunha",8061000,202301,08 - Fruit and nuts,750.0,33000
Exports,"Saint Helena, Ascension an Tristan da Cunha",8081000,202301,08 - Fruit and nuts,666.0,11040
Exports,"Saint Helena, Ascension an Tristan da Cunha",8072000,202301,08 - Fruit and nuts,180.0,3900
Exports,"Saint Helena, Ascension an Tristan da Cunha",8093000,202301,08 - Fruit and nuts,290.0,12140
Exports,"Saint Helena, Ascension an Tristan da Cunha",8071100,202301,08 - Fruit and nuts,60.0,1300
Exports,"Saint Helena, Ascension an Tristan da Cunha",8091000,202301,08 - Fruit and nuts,45.0,1890
Exports,Malawi,8081000,202301,08 - Fruit and nuts,74589.62,783609
Exports,"Saint Helena, Ascension an Tristan da Cunha",8094000,202301,08 - Fruit and nuts,1632.5,75435
Exports,Malawi,8083000,202301,08 - Fruit and nuts,1948.14,34123
Exports,Malawi,8129090,202301,08 - Fruit and nuts,120.0,6890
Exports,Malawi,8132000,202301,08 - Fruit and nuts,33.9,1902
Exports,Malawi,8134000,202301,08 - Fruit and nuts,28.0,2811
Exports,Malawi,8011110,202301,08 - Fruit and nuts,22.0,1869
Exports,Malawi,8029990,202301,08 - Fruit and nuts,552.8,13993
Exports,Malawi,8041010,202301,08 - Fruit and nuts,36.0,4597
Exports,Malawi,8031010,202301,08 - Fruit and nuts,642.24,7860
Exports,Malawi,8045010,202301,08 - Fruit and nuts,42.28,591
Exports,Senegal,8083000,202301,08 - Fruit and nuts,46411.71,597072
Exports,Malawi,8051010,202301,08 - Fruit and nuts,22124.54,271360
Exports,Senegal,8093000,202301,08 - Fruit and nuts,5069.2,106459
Exports,Malawi,8051090,202301,08 - Fruit and nuts,1875.38,25964
Exports,Malawi,8054010,202301,08 - Fruit and nuts,646.54,8289
Exports,Slovakia,8062000,202301,08 - Fruit and nuts,20960.0,392672
Exports,Malawi,8061000,202301,08 - Fruit and nuts,7445.8,170005
Exports,Senegal,8061000,202301,08 - Fruit and nuts,80486.96,2206501
Exports,Malawi,8062000,202301,08 - Fruit and nuts,1400.04,503852
Exports,Senegal,8094000,202301,08 - Fruit and nuts,36892.3,722509
Exports,Malawi,8071100,202301,08 - Fruit and nuts,1478.27,28885
Exports,Chad,8081000,202301,08 - Fruit and nuts,52931.2,788361
Exports,Malawi,8093000,202301,08 - Fruit and nuts,3916.34,64901
Exports,Sierra Leone,8061000,202301,08 - Fruit and nuts,1706.0,32500
Exports,Malawi,8102000,202301,08 - Fruit and nuts,151.58,2172
Exports,Sierra Leone,8081000,202301,08 - Fruit and nuts,21014.0,308560
Exports,Malawi,8101000,202301,08 - Fruit and nuts,453.74,7155
Exports,Chad,8061000,202301,08 - Fruit and nuts,6765.0,297038
Exports,Malawi,8094000,202301,08 - Fruit and nuts,3270.32,57820
Exports,Turkey,8119090,202301,08 - Fruit and nuts,23000.0,817938
Exports,Malawi,8135000,202301,08 - Fruit and nuts,961.8,86992
Exports,Togo,8061000,202301,08 - Fruit and nuts,3013.0,84938
Exports,Togo,8081000,202301,08 - Fruit and nuts,207181.4,2867973
Exports,Taiwan,8061000,202301,08 - Fruit and nuts,104041.0,3828760
Exports,Taiwan,8081000,202301,08 - Fruit and nuts,545981.1,10035699
Exports,Uganda,8081000,202301,08 - Fruit and nuts,292787.8,4164455
Exports,Qatar,8041090,202301,08 - Fruit and nuts,537.0,47982
Exports,United States,8026200,202301,08 - Fruit and nuts,85032.0,16364232
Exports,Qatar,8061000,202301,08 - Fruit and nuts,4050.0,264634
Exports,United States,8061000,202301,08 - Fruit and nuts,893819.47,47473131
Exports,United States,8109010,202301,08 - Fruit and nuts,167359.0,14821220
Exports,United States,8083000,202301,08 - Fruit and nuts,24870.32,503396
Exports,Qatar,8102000,202301,08 - Fruit and nuts,1713.54,395181
Exports,United States,8131000,202301,08 - Fruit and nuts,16800.0,1909436
Exports,United States,8134000,202301,08 - Fruit and nuts,62418.47,8679030
Exports,Qatar,8104000,202301,08 - Fruit and nuts,2216.0,186223
Exports,United States,8093000,202301,08 - Fruit and nuts,36000.0,754454
Exports,Qatar,8132000,202301,08 - Fruit and nuts,1108.0,80281
Exports,United States,8094000,202301,08 - Fruit and nuts,562773.0,7729739
Exports,Saudi Arabia,8102000,202301,08 - Fruit and nuts,42100.3,10606017
Exports,United States,8062000,202301,08 - Fruit and nuts,503457.3,17051411
Exports,Singapore,8041010,202301,08 - Fruit and nuts,525.0,53705
Exports,United States,8045090,202301,08 - Fruit and nuts,4411.78,487387
Exports,Singapore,8091000,202301,08 - Fruit and nuts,1940.0,179261
Exports,Singapore,8102000,202301,08 - Fruit and nuts,4165.68,1005666
Exports,Singapore,8093000,202301,08 - Fruit and nuts,21239.0,1916328
Exports,Singapore,8132000,202301,08 - Fruit and nuts,1725.0,214530
Exports,Singapore,8061000,202301,08 - Fruit and nuts,7928.0,811780
